#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,car,class
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:41:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:41:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:42:00Z,2.70877520243327,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:42:10Z,8.55966806411743,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:42:20Z,6.15184545516968,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:42:30Z,0.954819679260254,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:42:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:42:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:43:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:43:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:43:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:43:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:43:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:50:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:50:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:50:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:51:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:51:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:51:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:51:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:51:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:51:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:52:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:52:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:52:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
